Library,Distance_km,Bray_Curtis
S1BPL-S2BBB,67.83,0.686302509
S1BPL-S3CHL,23.02,0.945442348
S1BPL-S4COP,77.52,0.513632253
S1BPL-S5COP,77.52,0.701778857
S1BPL-S6FTF,12.14,0.654291068
S1BPL-S7FXG,95.34,0.951209202
S1BPL-S8FZJ,113.17,0.531744776
S1BPL-S9SHC,46.01,0.718799695
S1BPL-S10HKG,195.41,0.86121956
S1BPL-S11INL,163.78,0.907344829
S1BPL-S12KNP,49.66,0.708014694
S1BPL-S13LMK,47.51,0.706375535
S1BPL-S14MPL,118.74,0.820609602
S1BPL-S15PAR,49.68,0.713464092
S1BPL-S16PCT,43.43,0.876259547
S1BPL-S17PTF,18.11,0.61067405
S1BPL-S18RBY,24.56,0.689345111
S1BPL-S19TCF,15.12,0.408245614
S1BPL-S20WHT,132.22,0.944729351
S2BBB-S3CHL,44.98,0.966127326
S2BBB-S4COP,16.83,0.547956001
S2BBB-S5COP,16.83,0.039909384
S2BBB-S6FTF,56.49,0.078042608
S2BBB-S7FXG,35.01,0.965363219
S2BBB-S8FZJ,52.57,0.175103354
S2BBB-S9SHC,40.94,0.960276687
S2BBB-S10HKG,134.77,0.959638868
S2BBB-S11INL,102.33,0.95717779
S2BBB-S12KNP,33.29,0.95717779
S2BBB-S13LMK,28.82,0.956542503
S2BBB-S14MPL,57.37,0.95717779
S2BBB-S15PAR,21.01,0.725853569
S2BBB-S16PCT,28.14,0.95717779
S2BBB-S17PTF,49.7,0.096550783
S2BBB-S18RBY,46.04,0.956935989
S2BBB-S19TCF,52.71,0.505499771
S2BBB-S20WHT,73.33,0.959838254
S3CHL-S4COP,54.63,0.57872806
S3CHL-S5COP,54.63,0.991748048
S3CHL-S6FTF,11.54,0.917272874
S3CHL-S7FXG,72.75,0.053602944
S3CHL-S8FZJ,90.74,0.980161109
S3CHL-S9SHC,32.88,0.968649105
S3CHL-S10HKG,172.92,0.728889716
S3CHL-S11INL,141.37,0.77147545
S3CHL-S12KNP,33.14,0.765954866
S3CHL-S13LMK,28.93,0.874077142
S3CHL-S14MPL,96.16,0.1983706
S3CHL-S15PAR,28.43,0.244005466
S3CHL-S16PCT,23.46,0.097418731
S3CHL-S17PTF,5.04,0.989763601
S3CHL-S18RBY,11.78,0.364074155
S3CHL-S19TCF,7.96,0.972399297
S3CHL-S20WHT,110.18,0.946874889
S4COP-S5COP,0,0.564529892
S4COP-S6FTF,65.57,0.480318906
S4COP-S7FXG,19.09,0.577624542
S4COP-S8FZJ,37.25,0.43863139
S4COP-S9SHC,57.13,0.931450764
S4COP-S10HKG,119.43,0.633860359
S4COP-S11INL,87.8,0.739675837
S4COP-S12KNP,49.71,0.738028193
S4COP-S13LMK,44.65,0.844948982
S4COP-S14MPL,42.41,0.542017266
S4COP-S15PAR,36.13,0.337488021
S4COP-S16PCT,42.84,0.542017266
S4COP-S17PTF,59.69,0.541667547
S4COP-S18RBY,58.56,0.536045366
S4COP-S19TCF,62.61,0.484189327
S4COP-S20WHT,57.71,0.933445386
S5COP-S6FTF,65.57,0.112873287
S5COP-S7FXG,19.09,0.991333632
S5COP-S8FZJ,37.25,0.170982096
S5COP-S9SHC,57.13,0.991748048
S5COP-S10HKG,119.43,0.974944738
S5COP-S11INL,87.8,0.991556234
S5COP-S12KNP,49.71,0.991748048
S5COP-S13LMK,44.65,0.990678621
S5COP-S14MPL,42.41,0.991748048
S5COP-S15PAR,36.13,0.758664985
S5COP-S16PCT,42.84,0.991748048
S5COP-S17PTF,59.69,0.107089317
S5COP-S18RBY,58.56,0.985776148
S5COP-S19TCF,62.61,0.517428363
S5COP-S20WHT,57.71,0.991544574
S6FTF-S7FXG,83.21,0.916290173
S6FTF-S8FZJ,101.11,0.175051556
S6FTF-S9SHC,40.37,0.941317455
S6FTF-S10HKG,183.29,0.902322257
S6FTF-S11INL,151.52,0.879650098
S6FTF-S12KNP,42.36,0.890055611
S6FTF-S13LMK,39,0.891656728
S6FTF-S14MPL,106.6,0.890055611
