Pool_ID,Aliusviridae,Chuviridae,Dicistroviridae,Ghabrivirales,Hareavirales,Metaviridae,Nodaviridae,Orthomyxoviridae,Orthototoviridae,Partitiviridae,Parvoviridae,Peribunyaviridae,Phasmaviridae,Picornaviridae,Quinviridae,Reovirales,Rhabdoviridae,Sedoreoviridae,Solemoviridae,Spiciviridae,Tombusviridae,Virgaviridae,Xinmoviridae
S1BPL,0.000115475,0,0,0.039455082,0.012939469,0,0,5.62E-05,0,0.367682537,0,0,0.03902439,0,0,4.06E-05,0.252544357,0,0.273451617,0,0,0.013114242,0.001576081
S2BBB,0,0.002874314,0,0,0,0.005148025,0,6.24E-05,0,0.000241801,0,0,0.027623835,0,0,0,0.011368556,7.41E-05,0.951596863,0,5.46E-05,0.000955505,0
S3CHL,0,0.009902861,0,0,0,0,0.000302377,0,0,0,0,0,0.935026647,0,0.000755944,0,0.00241902,0,0,0,0,0.051593151,0
S4COP,0,0.001185242,0,0,0,0,0,0.000487547,0,0.13092306,0,0,0.413884989,0,0,0,0.039129813,0,0.410606659,0,0,0.003782689,0
S5COP,0,9.39E-05,0,0,0,0,0,0,0,0.016611496,0,0.000191814,0.006777413,0,0,0,0.001109873,0,0.974944738,0,0,0.000270744,0
S6FTF,0,0.002435149,0,0,0,0.000880799,0,8.64E-05,0,0.0002936,0,0.010405513,0.074626092,0,0,0,0.029636282,0,0.878389348,0,0,0.003246865,0
S7FXG,0,0.002707519,0,0,0,0,0,0,0,0.000414416,0,0,0.987526074,0,0,0,0.003108121,0,0,0,0,0.00624387,0
S8FZJ,0,0.000380439,0,0,0,0,0,0,0,0.175345155,0,0,0.018714557,0,0,0,0.000448375,0,0.804815954,0,0,0.00029552,0
S9SHC,0,0.000332104,0,0,0,2.80E-05,0,0.001063164,0,0,0,0,0.028302172,0,0,0,0.969966143,0,0,0,1.08E-05,0.0002976,0
S10HKG,0,0.002578106,0,0,0,0.000110886,0,0,0.002730574,0.089949547,0,0.629626036,0.265198348,0,0,0,0.008891692,0,0,0,0,0.000914812,0
S11INL,0,0.003001482,0,0,0,0,0,0,0,0,0,0.727141318,0.216226419,0,0,0,0.046753151,0,0,0,0,0.00687763,0
S12KNP,0,0.528408343,0,0,0,0,0,0,0,0,0,0,0.217874062,0,0,0,0.249111725,0,0,0.000756679,0,0.003849191,0
S13LMK,0,0.012587275,0,0,0,0.000356476,0,6.56E-05,0,0.001069427,0,0,0.112670862,0,0,0,0.872320287,0,0,0,0,0.000930114,0
S14MPL,0,0.058653985,0,0,0,0,0,0,0,0,0.005764519,0,0.737714368,0,0,0,0.127251765,0,0,0,0,0.070615362,0
S15PAR,0,0.001115472,0,0,0,0,0,0,0,0,0,0,0.75135405,1.90E-05,0,0,0.013322463,0,0.233083063,0,0,0.001105992,0
S16PCT,0,0.007268794,0,0,0,0,0,0,0,0,0.021222282,0,0.886792861,0,0,0,0.078615468,0,0,0,0,0.006100595,0
S17PTF,0,0.000104187,0,0,0,0,0,0,0,0.000778601,0,0,0.007583799,0,0,0,0.107382539,0,0.88402148,0,0,0.000129393,0
S18RBY,0,0.008131382,0,0,0,0,0,0,0,0.0059719,0,0,0.573782292,0,0,0,0.291130129,0,0,0,0,0.120984297,0
S19TCF,0,0.000315789,0.000203508,0,0,0,0,0,0,0.040892517,0,0,0.024595019,0,0,0,0.476014102,0,0.457708189,0,0,0.000270876,0
S20WHT,0,0,0,0,0,3.60E-05,0,0.933896885,0,0.000297396,0,0,0.049876986,0,0,0,0.01506358,0,0,0,0,0.000829105,0
