Pool_ID,Land_use,Aliusviridae,Chuviridae,Dicistroviridae,Ghabrivirales,Hareavirales,Metaviridae,Nodaviridae,Orthomyxoviridae,Orthototoviridae,Partitiviridae,Parvoviridae,Peribunyaviridae,Phasmaviridae,Picornaviridae,Quinviridae,Reovirales,Rhabdoviridae,Sedoreoviridae,Solemoviridae,Spiciviridae,Tombusviridae,Virgaviridae,Xinmoviridae
S1BPL,Tall Forest,0.336024084,0,0,114.811256,37.65286087,0,0,0.163471176,0,1069.927929,0,0,113.5579769,0,0,0.118062516,734.8846718,0,795.7231944,0,0,38.16143787,4.58627466
S2BBB,Beach,0,8.478680582,0,0,0,15.18569656,0,0.184069049,0,0.713267566,0,0,81.48506725,0,0,0,33.53507991,0.218581996,2807.029993,0,0.161060418,2.818557317,0
S3CHL,Grassland,0,2.542370373,0,0,0,0,0.07762963,0,0,0,0,0,240.0502225,0,0.194074074,0,0.621037038,0,0,0,0,13.24555557,0
S4COP,Tall Forest,0,1.606334984,0,0,0,0,0,0.660761908,0,177.4373573,0,0,560.929898,0,0,0,53.03183937,0,556.4868438,0,0,5.126601013,0
S5COP,Tall Forest,0,2.3515253,0,0,0,0,0,0,0,415.8998173,0,4.802410823,169.6851824,0,0,0,27.78774263,0,24409.56125,0,0,6.778575277,0
S6FTF,Tall Forest,0,3.062118162,0,0,0,1.107574654,0,0.10858575,0,0.369191551,0,13.08458292,93.83980551,0,0,0,37.26662954,0,1104.545112,0,0,4.082824215,0
S7FXG,Tall Forest,0,2.318936712,0,0,0,0,0,0,0,0.354939293,0,0,845.7966717,0,0,0,2.662044695,0,0,0,0,5.347752009,0
S8FZJ,Tall Forest,0,2.537925242,0,0,0,0,0,0,0,1169.734276,0,0,124.8455279,0,0,0,2.991126178,0,5368.95819,0,0,1.971424072,0
S9SHC,Beach,0,3.3613215,0,0,0,0.283747919,0,10.76059415,0,0,0,0,286.4544375,0,0,0,9817.306938,0,0,0,0.109133815,3.012093293,0
S10HKG,Wetland,0,3.471927127,0,0,0,0.149330199,0,0,3.67725615,121.1347908,0,847.9155362,357.1418372,0,0,0,11.97441533,0,0,0,0,1.231974142,0
S11INL,Wetland,0,3.132419017,0,0,0,0,0,0,0,0,0,758.8621371,225.6590816,0,0,0,48.79271094,0,0,0,0,7.177659526,0
S12KNP,Grassland,0,320.256628,0,0,0,0,0,0,0,0,0,0,132.0486579,0,0,0,150.9811155,0,0,0.458606135,0,2.332909472,0
S13LMK,Tall Forest,0,30.32615453,0,0,0,0.858846173,0,0.157948722,0,2.57653852,0,0,271.4546215,0,0,0,2101.655817,0,0,0,0,2.240897487,0
S14MPL,Tall Forest,0,2.534565684,0,0,0,0,0,0,0,0,0.249097365,0,31.87823523,0,0,0,5.498824323,0,0,0,0,3.051442716,0
S15PAR,Wetland,0,3.469850386,0,0,0,0,0,0,0,0,0,0,2337.20472,0.058977627,0,0,41.44161255,0,725.0414571,0,0,3.440361573,0
S16PCT,Wetland,0,3.567760013,0,0,0,0,0,0,0,0,10.41658504,0,435.2667216,0,0,0,38.58702347,0,0,0,0,2.994370011,0
S17PTF,Grassland,0,1.627567237,0,0,0,0,0,0,0,12.16300247,0,0,118.4711442,0,0,0,1677.488049,0,13809.838,0,0,2.021333504,0
S18RBY,Tall Forest,0,2.844707608,0,0,0,0,0,0,0,2.089227882,0,0,200.7337611,0,0,0,101.8498593,0,0,0,0,42.32551844,0
S19TCF,Wetland,0,2.564517388,1.652688983,0,0,0,0,0,0,332.0879049,0,0,199.736012,0,0,0,3865.707919,0,3717.045695,0,0,2.199786026,0
S20WHT,Wetland,0,0,0,0,0,0.087752494,0,2273.403864,0,0.723958076,0,0,121.4165446,0,0,0,36.66957347,0,0,0,0,2.018307364,0
